X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
6,5,may,sat,85.1,28.0,113.8,3.5,11.3,94,4.9,0.0,0.0
7,5,aug,tue,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0
8,6,aug,mon,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,1.23
5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
2,4,aug,wed,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95
4,6,mar,mon,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0
5,6,mar,sat,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,13.99
4,3,aug,sun,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,6.44
1,4,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,0.0
2,4,aug,wed,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75
2,4,aug,fri,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0
7,4,sep,fri,92.1,99.0,745.3,9.6,19.8,47,2.7,0.0,1.72
7,4,jul,sat,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0.0
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0
7,5,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0
6,5,sep,thu,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,4.42
1,2,aug,fri,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0
6,3,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0
8,6,aug,fri,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
2,5,aug,fri,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02
4,3,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85
8,3,sep,thu,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41
6,5,dec,tue,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77
6,5,sep,fri,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23
3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0
8,5,aug,wed,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68
9,9,feb,fri,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0
8,6,aug,wed,95.2,217.7,690.0,18.0,28.2,29,1.8,0.0,5.86
6,3,sep,mon,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,0.0
3,5,sep,thu,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0,2.18
2,4,aug,sun,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87
7,4,sep,sat,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64
2,5,sep,mon,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47
7,5,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0
5,4,mar,fri,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0
9,5,jun,wed,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,8.16
4,4,aug,wed,95.1,141.3,605.8,17.7,20.6,58,1.3,0.0,0.0
4,4,sep,sun,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,48.55
5,4,aug,tue,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0
2,5,aug,sun,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69
8,6,aug,thu,90.7,194.1,643.0,6.8,21.3,41,3.6,0.0,0.0
2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0
7,4,aug,sun,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
4,3,sep,thu,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0
2,2,aug,tue,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0,0.0
8,6,jun,wed,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0
1,3,mar,mon,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0
6,3,apr,sun,91.0,14.6,25.6,12.3,13.7,33,9.4,0.0,61.13
4,4,sep,thu,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0,3.78
4,3,jul,sun,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,7.36
6,5,aug,sat,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0
6,5,sep,sat,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0,1090.84
5,4,aug,tue,95.1,141.3,605.8,17.7,26.4,34,3.6,0.0,16.4
2,2,aug,sun,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0
4,3,aug,wed,94.5,139.4,689.1,20.0,28.9,29,4.9,0.0,49.59
4,5,mar,fri,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0.0
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0
7,4,jul,sat,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,0.0
8,6,sep,mon,91.9,111.7,770.3,6.5,15.7,51,2.2,0.0,0.0
3,6,sep,mon,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0
3,4,aug,wed,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47
2,2,aug,tue,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01
7,4,aug,sun,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74
1,2,aug,tue,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0
3,4,aug,thu,91.6,248.4,753.8,6.3,16.8,56,3.1,0.0,0.0
6,5,sep,thu,92.8,119.0,783.5,7.5,21.6,27,2.2,0.0,0.0
6,3,sep,sun,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0
8,6,aug,thu,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0.0
8,6,aug,sat,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,58.3
7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0
7,5,sep,sat,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0
1,2,sep,tue,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,212.88
7,4,jun,sun,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0
2,4,jan,sat,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0
6,4,jun,sun,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.9
3,4,aug,tue,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0
1,2,aug,tue,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0
3,4,aug,sun,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,3.2
1,3,aug,sat,92.1,178.0,605.3,9.6,23.3,40,4.0,0.0,6.36
6,4,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0
6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61
1,5,sep,sun,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
1,2,aug,fri,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0
4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0
4,4,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0
2,2,feb,sat,79.5,3.6,15.3,1.8,4.6,59,0.9,0.0,6.84
5,6,sep,mon,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0
6,3,sep,fri,92.5,122.0,789.7,10.2,15.9,55,3.6,0.0,0.0
3,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,10.73
7,4,sep,fri,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,0.52
8,6,aug,sun,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0
3,4,mar,wed,93.4,17.3,28.3,9.9,8.9,35,8.0,0.0,0.0
8,6,oct,wed,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,13.7
1,4,aug,fri,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,9.71
2,2,aug,tue,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07
8,6,aug,sun,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07
4,5,mar,fri,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0
7,4,aug,thu,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,1.52
1,2,aug,sat,93.7,231.1,715.1,8.4,25.9,32,3.1,0.0,0.0
6,5,aug,wed,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51
4,6,dec,thu,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38
5,4,aug,fri,91.0,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17
2,4,aug,sun,81.6,56.7,665.6,1.9,21.9,71,5.8,0.0,54.29
6,3,sep,thu,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0,34.36
4,3,sep,sat,92.2,102.3,751.5,8.4,23.5,27,4.0,0.0,3.33
4,4,sep,mon,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07
2,5,aug,tue,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09
3,4,aug,tue,96.1,181.1,671.2,14.3,32.3,27,2.2,0.0,14.68
5,4,feb,sun,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38
3,4,aug,tue,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0
7,4,sep,fri,92.1,99.0,745.3,9.6,20.6,43,3.6,0.0,2.03
3,4,mar,sat,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0
2,4,mar,tue,93.4,15.0,25.6,11.4,15.2,19,7.6,0.0,0.0
4,4,sep,sat,91.2,124.4,795.3,8.5,17.1,41,2.2,0.0,11.22
2,4,aug,thu,91.6,248.4,753.8,6.3,16.6,59,2.7,0.0,0.0
6,5,mar,thu,91.3,20.6,43.5,8.5,13.3,27,3.6,0.0,6.61
4,4,sep,fri,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1.26
1,2,sep,thu,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0
2,5,aug,sat,93.7,231.1,715.1,8.4,23.6,53,4.0,0.0,6.43
9,9,feb,thu,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0
7,4,aug,mon,91.5,238.2,730.6,7.5,17.7,65,4.0,0.0,0.0
6,5,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0
4,4,oct,sat,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23
1,3,sep,sun,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33
5,6,aug,sun,91.6,181.3,613.0,7.6,24.3,33,3.6,0.0,3.63
6,4,apr,sat,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0
1,2,aug,thu,91.0,163.2,744.4,10.1,26.7,35,1.8,0.0,5.8
2,5,sep,mon,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,3.93
4,3,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0
4,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,22.03
6,5,aug,sun,92.0,203.2,664.5,8.1,19.1,70,2.2,0.0,0.0
1,4,aug,sat,94.4,146.0,614.7,11.3,25.6,42,4.0,0.0,0.0
1,5,sep,sat,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46
7,4,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0
4,4,aug,tue,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79
4,4,aug,tue,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0
2,4,sep,sun,50.4,46.2,706.6,0.4,12.2,78,6.3,0.0,0.0
9,4,jul,mon,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0,1.63
1,4,aug,wed,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
5,4,feb,fri,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,24.24
3,5,mar,mon,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0
2,3,sep,mon,91.6,108.4,764.0,6.2,18.0,51,5.4,0.0,0.0
6,3,sep,mon,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0
3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0
2,5,aug,thu,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0,0.0
4,5,sep,wed,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72
6,3,jul,tue,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,7.02
4,3,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0
4,3,sep,sun,90.5,96.7,750.5,11.4,20.4,55,4.9,0.0,3.64
7,4,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0
8,5,oct,mon,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0
2,2,aug,tue,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71
2,2,sep,fri,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0
7,6,jul,wed,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0
8,6,jul,sun,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,6.3
8,6,aug,mon,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0
6,3,sep,sun,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,14.29
6,5,sep,sat,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0,12.64
7,4,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0
8,6,aug,tue,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27
6,5,jun,sat,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0,0.0
5,4,aug,thu,94.8,222.4,698.6,13.9,20.3,42,2.7,0.0,0.0
8,6,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0
3,4,mar,sat,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0
5,6,sep,wed,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0
2,5,sep,tue,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04
5,5,mar,sat,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0
7,4,jul,mon,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,278.53
4,5,sep,tue,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0,0.0
8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
4,5,sep,sat,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,154.88
8,4,aug,sat,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0,12.18
2,2,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0
4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0
1,4,jul,tue,92.3,96.2,450.2,12.1,23.4,31,5.4,0.0,0.0
8,8,aug,wed,91.7,191.4,635.9,7.8,26.2,36,4.5,0.0,185.76
6,3,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0
8,6,dec,wed,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,11.19
3,6,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0
8,6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0
8,6,oct,mon,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44
3,4,mar,wed,90.2,18.5,41.1,7.3,11.2,41,5.4,0.0,5.55
4,5,sep,sat,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0
7,4,oct,fri,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0
2,2,aug,wed,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63
8,6,aug,sun,94.9,130.3,587.1,14.1,31.0,27,5.4,0.0,0.0
3,4,mar,mon,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0
3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0
6,5,aug,tue,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,0.17
1,4,aug,sat,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53
2,4,aug,wed,95.2,217.7,690.0,18.0,30.8,19,4.5,0.0,0.0
5,4,sep,fri,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0,1.64
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77
5,4,jul,wed,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,7.73
8,6,sep,fri,91.1,91.3,738.1,7.2,20.7,46,2.7,0.0,30.18
7,4,aug,sat,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0,26.0
1,4,sep,thu,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,7.21
4,5,aug,mon,96.2,175.5,661.8,16.8,32.6,26,3.1,0.0,2.77
2,4,aug,mon,95.0,135.5,596.3,21.3,30.6,28,3.6,0.0,2.07
1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55
8,6,aug,mon,92.1,207.0,672.6,8.2,21.1,54,2.2,0.0,0.0
2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0
4,3,sep,fri,90.3,290.0,855.3,7.4,19.9,44,3.1,0.0,7.8
6,5,mar,fri,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53
8,6,aug,sun,81.6,56.7,665.6,1.9,27.8,35,2.7,0.0,0.0
2,4,aug,sun,93.6,235.1,723.1,10.1,20.9,66,4.9,0.0,15.34
4,6,sep,sun,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1
4,5,sep,wed,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41
1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0
4,5,sep,mon,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0
1,3,aug,thu,94.8,222.4,698.6,13.9,26.2,34,5.8,0.0,0.0
6,5,aug,thu,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9
8,6,aug,sun,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0
3,4,jul,sat,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
4,3,jul,thu,93.2,114.4,560.0,9.5,30.2,22,4.9,0.0,0.0
8,6,aug,wed,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0,0.0
1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0
2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0
6,5,mar,thu,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14
8,6,sep,sat,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95
2,4,sep,mon,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0,11.32
3,4,aug,sun,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76
5,4,sep,fri,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0
4,5,sep,thu,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0.0
8,6,aug,sat,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3
5,4,aug,tue,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0,2.0
3,4,aug,thu,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0
3,4,sep,sun,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59
6,5,apr,mon,87.9,24.9,41.6,3.7,10.9,64,3.1,0.0,3.35
3,4,aug,fri,91.6,112.4,573.0,8.9,11.2,84,7.6,0.0,3.3
6,5,sep,tue,91.9,111.7,770.3,6.5,21.1,35,2.7,0.0,5.65
7,4,feb,fri,84.6,3.2,43.6,3.3,8.2,53,9.4,0.0,4.62
4,3,sep,mon,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0,0.0
2,4,aug,fri,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25
3,4,aug,sun,94.9,130.3,587.1,14.1,23.4,40,5.8,0.0,1.29
2,4,aug,sun,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,2.44
6,5,feb,mon,84.1,4.6,46.7,2.2,5.3,68,1.8,0.0,0.0
4,6,dec,fri,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,9.27
6,3,oct,tue,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0
6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,10.93
1,4,sep,tue,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43
6,5,sep,sat,91.2,94.3,744.4,8.4,15.4,57,4.9,0.0,39.35
6,6,aug,mon,96.2,175.5,661.8,16.8,23.9,42,2.2,0.0,0.0
9,4,jul,sat,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0
4,4,aug,tue,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0.0
2,2,feb,fri,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0
6,4,feb,tue,75.1,4.4,16.2,1.9,5.1,77,5.4,0.0,2.14
3,4,mar,fri,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0
6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0
6,5,mar,wed,93.4,17.3,28.3,9.9,13.8,24,5.8,0.0,0.0
8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0
3,4,jul,wed,91.9,133.6,520.5,8.0,14.2,58,4.0,0.0,0.0
7,4,sep,fri,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,5.97
1,4,sep,mon,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,28.19
2,4,aug,wed,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64
6,5,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19
1,3,sep,sun,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,70.76
